City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Puerto Ayora,-0.7393,-90.3518,68.56,89,75,7.0,EC,1668130684
81,Rincon,32.296,-81.2354,74.95,94,100,21.85,US,1668130685
82,Ayan,56.45,138.1667,25.54,52,27,15.01,RU,1668130685
83,Auki,-8.7676,160.7034,78.75,89,100,9.01,SB,1668130685
84,Chara,56.9064,118.2631,13.78,71,100,2.3,RU,1668130686
85,Avera,33.194,-82.5271,67.51,97,100,21.03,US,1668130686
86,Roald,62.5833,6.1333,57.76,82,40,25.32,NO,1668130687
87,Santa Lucía,27.9117,-15.5407,63.72,83,75,17.27,ES,1668130687
88,Isangel,-19.55,169.2667,82.51,83,100,0.0,VU,1668130453
89,Hilo,19.7297,-155.09,81.1,64,0,10.36,US,1668130404
90,Poya,-21.35,165.15,78.24,67,88,9.44,NC,1668130688
91,Abnūb,27.2696,31.1511,59.22,48,0,6.22,EG,1668130688
92,Popondetta,-8.7537,148.2534,87.13,58,100,7.07,PG,1668130688
93,Aklavik,68.2191,-135.0107,18.27,85,100,2.93,CA,1668130688
94,Ixtapa,20.7,-105.2,78.03,78,0,9.22,MX,1668130689
95,Jamestown,42.097,-79.2353,60.39,60,0,9.22,US,1668130665
96,Yaan,7.3833,8.5667,76.05,79,100,7.74,NG,1668130689
97,Sabang,5.8933,95.3214,77.77,86,100,11.65,ID,1668130690
98,Khatanga,71.9667,102.5,-11.83,100,97,4.27,RU,1668130690
99,Salalah,17.0151,54.0924,75.29,64,20,4.61,OM,1668130691
100,Pimampiro,0.4,-77.9667,58.68,95,100,1.74,EC,1668130691
101,Ancud,-41.8697,-73.8203,52.45,98,100,6.51,CL,1668130417
102,Madimba,-10.4,40.3333,77.61,72,62,5.68,TZ,1668130692
103,Muli,2.9167,73.5667,80.65,73,73,6.06,MV,1668130692
104,Zhashkiv,49.2454,30.1102,45.84,93,100,7.9,UA,1668130692
105,Hambantota,6.1241,81.1185,75.54,100,20,2.3,LK,1668130693
106,Okhotsk,59.3833,143.3,6.21,64,7,19.77,RU,1668130693
107,Bambous Virieux,-20.3428,57.7575,71.85,83,20,3.44,MU,1668130693
108,Balabac,7.9868,117.0645,84.06,75,76,10.4,PH,1668130694
109,Iskitim,54.6366,83.3045,28.87,95,100,12.55,RU,1668130694
110,Saint-François,46.4154,3.9054,44.67,100,100,2.3,FR,1668130694
111,Kieta,-6.2167,155.6333,83.62,77,100,1.68,PG,1668130695
112,Valle de Allende,26.9333,-105.4,66.11,29,100,7.7,MX,1668130695
113,Margate,51.3813,1.3862,58.1,82,100,7.0,GB,1668130611
114,Erzin,36.9559,36.2,59.31,63,6,5.3,TR,1668130696
115,Serenje,-13.2325,30.2352,62.82,84,100,2.73,ZM,1668130696
116,Atuona,-9.8,-139.0333,78.06,80,13,13.6,PF,1668130570
117,Suzhou,31.3114,120.6181,74.39,69,71,12.08,CN,1668130696
118,Torbay,47.6666,-52.7314,43.29,79,100,19.57,CA,1668130539
119,Malaryta,51.7905,24.074,42.01,94,32,6.93,BY,1668130698
120,Provideniya,64.3833,-173.3,24.91,58,75,15.99,RU,1668130698
121,Ucar,40.519,47.6542,53.78,88,100,1.68,AZ,1668130699
122,Takoradze,4.8845,-1.7554,77.41,86,84,7.2,GH,1668130699
123,Pervomayskiy,53.2485,40.2871,37.47,87,100,11.36,RU,1668130699
124,Qui Nhon,13.7667,109.2333,79.38,82,77,13.13,VN,1668130700
125,Nioro,13.35,-15.75,72.63,67,38,3.91,GM,1668130700
126,Husavik,66.0449,-17.3389,40.66,97,100,18.5,IS,1668130700
